CGPA,Department,Python,Java,WebDev,DataAnalysis,MachineLearning,CyberSecurity,Networking,DatabaseManagement,UIUX,LabSkills,Research,Teaching,ProjectManagement,Communication,Marketing,FinancialAnalysis,GIS,CriticalThinking,StatisticalAnalysis,Argumentation,TechnicalWriting,LegalResearch,Counselling,UrbanPlanning,FieldWork,EnvironmentalAnalysis,ClassroomManagement,CurriculumDevelopment,PolicyAnalysis,Writing,ContentCreation,AccountingSoftware,Internship,Career,EmployabilityScore
3.22,Fisheries,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Environmental Officer,67
2.53,Mass Communication,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Marketing Specialist,69
3.28,Microbiology,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Research Scientist,83
3.91,Guidance & Counselling,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Counsellor,70
3.09,Guidance & Counselling,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Social Analyst,79
3.27,Geography & Planning,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,Field Researcher,77
3.52,Mathematics,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Statistical Analyst,71
3.34,Public Administration,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Community Development Officer,70
3.25,History & International Studies,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Policy Analyst,76
3.57,Law,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,Legal Writer,94
