CGPA,Department,Python,Java,WebDev,DataAnalysis,MachineLearning,CyberSecurity,Networking,DatabaseManagement,UIUX,LabSkills,Research,Teaching,ProjectManagement,Communication,Marketing,FinancialAnalysis,GIS,CriticalThinking,Internship,Career,EmployabilityScore
4.46,Mass Communication,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,Marketing Specialist,89
3.69,Economics,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,Financial Analyst,71
2.81,Biology,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,Environmental Officer,66
3.21,Criminology,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,Security Analyst,70
3.53,Guidance & Counselling,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Teacher,66
3.34,Psychology,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,Social Analyst,77
3.71,Computer Science,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Software Developer,74
4.32,Biology,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,Research Scientist,99
2.7,Software Engineering,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,System Analyst,73
3.77,Geography & Planning,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,Environmental Officer,68
2.47,Education & Mathematics,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,Data Analyst,66
3.87,Geography & Planning,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,Environmental Officer,78
3.82,Education & Mathematics,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,Data Analyst,93
2.09,Chemistry,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,Chemist,52
3.57,Microbiology,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Public Health Officer,70
3.88,Sociology,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,Research Scientist,93
3.88,Agriculture,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,Research Scientist,81
3.32,Data Science,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,Data Scientist,89
3.72,Estate Management,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,GIS Specialist,78
3.9,Estate Management,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,Property Manager,82
4.36,Forestry,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,GIS Specialist,78
3.09,Biology,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,Research Scientist,70
3.4,Forestry,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,Agricultural Officer,62
3.9,Education & Biology,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,Teacher,87
4.04,Education & Mathematics,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,Data Analyst,77
3.68,Accounting,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,Financial Analyst,86
4.34,Biochemistry,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,Lab Scientist,90
4.76,Sociology,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,Research Scientist,99
2.94,Accounting,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,Accountant,69
4.06,Banking & Finance,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,Investment Analyst,99
3.84,Criminology,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,Policy Analyst,74
